007018	99999	WXPOD 7018				0.0	0.0	7018.0	20110309	20130730
007026	99999	WXPOD 7026	AF			0.0	0.0	7026.0	20120713	20170822
007070	99999	WXPOD 7070	AF			0.0	0.0	7070.0	20140923	20150926
008260	99999	WXPOD8270				0.0	0.0	0.0	20050101	20100920
008268	99999	WXPOD8278	AF			32.95	65.567	1156.7	20100519	20120323
008307	99999	WXPOD 8318	AF			0.0	0.0	8318.0	20100421	20100421
008411	99999	XM20							20160217	20160217
008414	99999	XM18							20160216	20160217
008415	99999	XM21							20160217	20160217
008418	99999	XM24							20160217	20160217
010000	99999	BOGUS NORWAY	NO		ENRS				20010927	20041019
010010	99999	JAN MAYEN(NOR-NAVY)	NO		ENJA	70.933	-8.667	9.0	19310101	20200624
010013	99999	ROST	NO						19861120	19880105
010014	99999	SORSTOKKEN	NO		ENSO	59.792	5.341	48.8	19861120	20200624
010015	99999	BRINGELAND	NO			61.383	5.867000000000001	327.0	19870117	20081231
010016	99999	RORVIK/RYUM	NO			64.85	11.232999999999999	14.0	19870116	19910806
010017	99999	FRIGG	NO		ENFR	59.98	2.25	48.0	19880320	20050228
010020	99999	VERLEGENHUKEN	NO			80.05	16.25	8.0	19861109	20200624
010030	99999	HORNSUND	NO			77.0	15.5	12.0	19850601	20200624
010040	99999	NY-ALESUND II	NO		ENAS	78.917	11.933	8.0	19730101	20140523
010050	99999	ISFJORD RADIO	SV			78.067	13.633	9.0	19310103	20041030
010060	99999	EDGEOYA	NO			78.25	22.816999999999997	14.0	19730101	20200624
010070	99999	NY-ALESUND	SV			78.917	11.933	7.7	19730106	20200624
010071	99999	LONGYEARBYEN	SV			78.217	15.583	37.0	20050210	20050210
010080	99999	LONGYEAR	SV		ENSB	78.24600000000001	15.466	26.8	19750929	20200624
010090	99999	KARL XII OYA	SV			80.65	25.0	5.0	19550101	20200624
010100	99999	ANDOYA	NO		ENAN	69.293	16.144000000000002	13.1	19310103	20200624
010110	99999	KVITOYA	SV			80.067	31.5	10.0	19861118	20200624
010120	99999								19741130	19751116
010140	99999	SENJA-LAUKHELLA	NO			69.233	17.9	9.0	19730101	20140523
010150	99999	HEKKINGEN FYR	NO			69.6	17.833	14.0	19800314	20200624
010160	99999	KONGSOYA	NO			78.933	28.9	20.0	19930501	20200624
010170	99999	AKSELOYA	SV			77.683	14.783	6.0	19730101	20200624
010171	99999	GIBOSTAD	NO			69.35	18.083	12.0	20050216	20070307
010190	99999	SVARTTANGEN	NO			77.517	20.816999999999997	20.0	20100825	20140523
010200	99999	SORKAPPOYA	SV			76.483	16.55	10.0	20101008	20200624
010230	99999	BARDUFOSS	NO		ENDU	69.056	18.54	76.8	19400713	20200624
